Name,Cu,As,Sn,Pb,Ni,Ag,Fe,Sb
Arrow1,69,0,16,11,1.1,0.9,2,0
Arrow2,66.6,0,15,14.7,0.9,0.7,2.1,0
Arrow3,70.7,0.9,15,11,0.4,0,1.7,0.3
Arrow4,63.5,0.4,19,13.9,0.9,0,1.7,0.6
Arrow5,66.3,0,21,11.2,1.2,0,0.3,0
Plastin1,83.81,0.3,15.6,0.2,0.06,0.01,0.02,0
Plastin2,88,0.2,11.7,0.05,0,0,0.05,0
Psalii1,77.58,0.09,21.3,0.98,0,0.02,0.03,0
Psalii2,83.57,0.05,16.3,0.05,0,0,0.03,0
Situla1,88.7,0.02,11.2,0.05,0.02,0,0.01,0
Fragment,86.58,0.003,13.3,0,0.05,0,0.07,0
Plastin3,87.59,0.04,12.3,0.04,0,0,0.03,0
Arrow6,92.21,0.01,7.7,0.02,0,0.04,0.01,0.01
Arrow7,98.71,0.06,1.1,0.1,0.01,0,0.02,0
Vessel1,87.86,0.02,12.00,0.10,0.00,0.00,0.02,0.00
Vessel2,88.28,0.02,11.00,0.20,0.00,0.00,0.50,0.00
Vessel handle1,93.3,0.80,2.00,3.00,0.03,0.01,0.90,0.05
Vessel3,97.37,0.03,2.00,0.20,0.00,0.02,0.40,0.00
Rivet1,98.1,0.10,0.90,0.40,0.00,0.00,0.50,0.00
Vessel handle2,94.4,0.30,1.00,4.00,0.02,0.00,0.30,0.00
Rivet2,98.8,0.20,0.40,0.30,0.02,0.01,0.30,0.00
Pommel1,85.97,0.02,11.00,3.00,0.00,0.02,0.01,0.02
Pommel2,72.57,0.40,25.00,2.00,0.00,0.40,0.03,0.00
Pommel3,95.89,0.10,3.00,1.00,0.00,0.02,0.01,0.02
Pommel4,87.98,0.02,11.00,0.50,0.00,0.02,0.50,0.00
Pommel5,80,0.30,19.00,0.50,0.02,0.01,0.20,0.00
Pommel6,85.88,0.60,13.00,0.50,0.00,0.02,0.02,0.01
Plastin4,77.03,0.90,21.00,1.00,0.04,0.01,0.07,0.00
Situla2,99.43,0.50,0.07,0.00,0.04,0.00,0.00,0.00
Situla3,99.68,0.30,0.00,0.00,0.05,0.00,0.02,0.00
Arrow8,99.86,0.01,0.04,0.07,0.00,0.06,0.02,0.00
Arrow9,88.07,0.90,9.00,2.00,0.00,0.01,0.03,0.00
Arrow10,84.97,0.00,7.00,8.00,0.00,0.01,0.03,0.00
 ShellFragment1,82.14,0.80,17.00,0.00,0.00,0.00,0.06,0.00
 ShellFragment2,86.56,0.40,13.00,0.01,0.00,0.07,0.03,0.00
 ShellFragment3,84.45,0.50,15.00,0.01,0.00,0.00,0.04,0.00
Arrow11,93.15,0.80,6.00,0.02,0.05,0.10,0.03,0.00
Arrow12,91.96,1.00,7.00,0.01,0.00,0.07,0.03,0.00
Arrow13,88.56,1.40,10.00,0.02,0.00,0.04,0.02,0.00
Plastin5,72.9,0.60,24.00,0.90,0.00,0.00,1.60,0.00
Arrow14,84.51,0.85,14.00,0.60,0.00,0.07,0.04,0.00
Arrow15,81.66,0.40,17.00,0.90,0.00,0.02,0.04,0.00
Arrow16,80.57,0.40,17.00,2.00,0.00,0.00,0.03,0.00
Arrow17,81.58,0.01,18.00,0.40,0.02,0.06,0.01,0.00
Arrow18,74.93,1.00,24.00,0.02,0.00,0.03,0.05,0.00
Arrow19,75.59,0.40,22.00,2.00,0.02,0.01,0.01,0.00
Arrow20,81.39,0.70,17.00,0.90,0.00,0.00,0.01,0.00
Arrow21,86.07,0.02,13.00,0.90,0.02,0.03,0.01,0.00
Arrow22,92.14,0.04,7.00,0.80,0.01,0.02,0.02,0.01
Arrow23,84.95,0.03,13.00,2.00,0.00,0.00,0.02,0.00
Arrow24,75.98,0.01,24.00,0.00,0.04,0.00,0.01,0.00
Arrow25,69.99,0.00,17.00,13.00,0.05,0.02,0.01,0.00
Arrow26,68.99,0.00,18.00,13.00,0.01,0.01,0.01,0.00
Arrow27,68.97,0.02,17.00,14.00,0.02,0.00,0.01,0.01
Arrow28,66.97,0.01,19.00,14.00,0.03,0.00,0.02,0.01
Arrow29,68.99,0.00,19.00,12.00,0.02,0.00,0.01,0.00
Plastin6,77.79,0.20,22.00,0.00,0.01,0.00,0.01,0.00
Plastin7,86.08,0.00,13.00,0.90,0.00,0.00,0.02,0.00
Plaque1,80.96,0.00,16.00,3.00,0.00,0.00,0.04,0.00
Plaque2,85.93,0.00,12.00,2.00,0.00,0.01,0.07,0.00
Plaque3,86.97,0.00,13.00,0.02,0.00,0.00,0.01,0.00
Plaque4,80.97,0.00,17.00,2.00,0.00,0.00,0.03,0.00
Arrow30,83.54,0.02,15.00,1.40,0.00,0.01,0.04,0.00
Arrow31,81.05,0.01,18.00,0.90,0.00,0.01,0.04,0.00
Arrow32,90.97,0.00,8.00,1.00,0.02,0.01,0.03,0.00
Arrow33,90.97,0.00,9.00,0.02,0.03,0.01,0.01,0.00
Arrow34,73.97,0.02,14.00,12.00,0.00,0.00,0.01,0.00
Arrow35,74.96,0.03,17.00,8.00,0.00,0.00,0.01,0.00
Arrow36,73.97,0.02,13.00,13.00,0.00,0.00,0.01,0.00
Arrow37,88.47,0.20,11.00,0.30,0.00,0.00,0.03,0.00
Arrow38,88.78,0.30,10.00,0.90,0.00,0.00,0.02,0.00
Arrow39,70.59,0.40,22.00,7.00,0.00,0.00,0.01,0.00